open_time,close_time,symbol,action,lots,sl,tp,open_price,close_price,pips,profit,Duration (DD:HH:MM:SS),change_pct,trade_id,aligned_candle_idx,timestamp,aligned_candle_timestamp
2022-05-07 08:18:00+00:00,2022-05-07 08:51:00+00:00,XAUUSD,Buy,0.34,1801.22,0.0,1802.72,1801.22,-150.0,-52.53,00:00:33:00,-1.02,876,1254381,2022-05-06 20:55:00+00:00,2022-05-06 20:55:00+00:00
2022-05-07 14:06:00+00:00,2022-05-07 14:07:00+00:00,XAUUSD,Buy,0.34,1771.78,0.0,1773.28,1771.78,-150.0,-52.53,00:00:01:00,-1.03,875,1254381,2022-05-06 20:55:00+00:00,2022-05-06 20:55:00+00:00
2022-05-08 12:33:00+00:00,2022-05-08 12:33:00+00:00,XAUUSD,Buy,0.36,1773.88,0.0,1775.38,1773.88,-150.0,-55.62,00:00:00:00,-1.03,868,1254381,2022-05-06 20:55:00+00:00,2022-05-06 20:55:00+00:00
2022-05-10 10:23:00+00:00,2022-05-10 11:08:00+00:00,XAUUSD,Buy,0.36,1711.3,0.0,1705.37,1711.3,593.0,211.86,00:00:45:00,3.89,855,1254806,2022-05-10 10:20:00+00:00,2022-05-10 10:20:00+00:00
2022-05-10 14:04:00+00:00,2022-05-10 14:13:00+00:00,XAUUSD,Buy,0.38,1706.4,0.0,1701.23,1706.4,517.0,194.75,00:00:09:00,3.45,854,1254850,2022-05-10 14:00:00+00:00,2022-05-10 14:00:00+00:00
2022-05-12 16:36:00+00:00,2022-05-12 17:29:00+00:00,XAUUSD,Buy,0.36,1768.32,0.0,1769.82,1768.32,-150.0,-55.62,00:00:53:00,-1.03,837,1255433,2022-05-12 16:35:00+00:00,2022-05-12 16:35:00+00:00
2022-06-05 12:53:00+00:00,2022-06-05 12:53:00+00:00,XAUUSD,Buy,0.35,1876.79,0.0,1878.29,1876.79,-150.0,-54.08,00:00:00:00,-1.04,891,1259859,2022-06-03 20:55:00+00:00,2022-06-03 20:55:00+00:00
2022-06-05 12:55:00+00:00,2022-06-05 13:04:00+00:00,XAUUSD,Buy,0.34,1876.5,0.0,1876.91,1876.5,-41.0,-15.47,00:00:09:00,-0.3,890,1259859,2022-06-03 20:55:00+00:00,2022-06-03 20:55:00+00:00
2022-06-07 13:53:00+00:00,2022-06-07 14:00:00+00:00,XAUUSD,Buy,0.34,1758.9,0.0,1756.52,1758.9,238.0,79.39,00:00:07:00,1.57,874,1260326,2022-06-07 13:50:00+00:00,2022-06-07 13:50:00+00:00
2022-06-07 15:18:00+00:00,2022-06-07 15:21:00+00:00,XAUUSD,Buy,0.34,1739.3,0.0,1738.27,1739.3,103.0,33.49,00:00:03:00,0.65,873,1260343,2022-06-07 15:15:00+00:00,2022-06-07 15:15:00+00:00
2022-08-03 15:00:00+00:00,2022-08-03 15:03:00+00:00,XAUUSD,Buy,0.26,2048.7,0.0,2046.3,2048.7,240.0,61.23,00:00:03:00,1.54,923,1271488,2022-08-03 15:00:00+00:00,2022-08-03 15:00:00+00:00
2022-08-03 18:46:00+00:00,2022-08-03 18:48:00+00:00,XAUUSD,Buy,0.27,2031.2,0.0,2030.91,2031.2,29.0,6.61,00:00:02:00,0.16,922,1271533,2022-08-03 18:45:00+00:00,2022-08-03 18:45:00+00:00
2022-09-02 22:54:00+00:00,2022-09-02 23:15:00+00:00,XAUUSD,Buy,0.27,2043.8,0.0,2044.21,2043.8,-41.0,-12.29,00:00:21:00,-0.3,921,1277475,2022-09-02 20:55:00+00:00,2022-09-02 20:55:00+00:00
2022-09-03 04:53:00+00:00,2022-09-03 05:24:00+00:00,XAUUSD,Buy,0.27,2050.1,0.0,2046.31,2050.1,379.0,101.11,00:00:31:00,2.51,920,1277475,2022-09-02 20:55:00+00:00,2022-09-02 20:55:00+00:00
2022-09-03 08:05:00+00:00,2022-09-03 08:08:00+00:00,XAUUSD,Buy,0.27,2031.49,0.0,2033.0,2031.49,-151.0,-41.99,00:00:03:00,-1.02,919,1277475,2022-09-02 20:55:00+00:00,2022-09-02 20:55:00+00:00
